"","var","rel.inf","Flow.Metric.Name","Flow.Component"
"1","Q99",51.4595138354157,"Magnitude of largest annual storm","Peak Flow"
"2","Wet_BFL_Dur",11.9512864974777,"Wet-season duration","Wet-season baseflow"
"3","SP_Tim",5.47858539824363,"Spring timing","Spring recession flow"
"4","DS_Mag_50",5.28772007768503,"Dry-season median baseflow","Dry-season baseflow"
"5","DS_Dur_WS",4.58389087422104,"Dry-season duration","Dry-season baseflow"
"6","DS_Tim",3.58010692656005,"Dry-season timing","Dry-season baseflow"
"7","SP_ROC",3.17214285140116,"Spring rate of change","Spring recession flow"
"8","SP_Dur",3.15470002037876,"Spring duration","Spring recession flow"
"9","Wet_BFL_Mag_50",3.05023180939441,"Wet-season median baseflow","Wet-season baseflow"
"10","SP_Mag",3.01093421687499,"Spring recession magnitude","Spring recession flow"
"11","FA_Mag",1.72085857060444,"Fall pulse magnitude","Fall pulse flow"
"12","Wet_Tim",1.40834636731089,"Wet-season timing","Wet-season baseflow"
"13","DS_Mag_90",0.904243060887974,"Dry-season high baseflow","Dry-season baseflow"
"14","Wet_BFL_Mag_10",0.717242133031676,"Wet-season low baseflow","Wet-season baseflow"
"15","FA_Dur",0.297254436321829,"Fall pulse duration","Fall pulse flow"
"16","FA_Tim",0.222942924190692,"Fall pulse timing","Fall pulse flow"
