"","X","metric","Threshold25","Threshold50","Threshold75","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1",1,"H_ASCI_DS_Dur_WS_0.75_Positive",105.265955583838,66.9366651371849,35.7160348853454,111,"Positive","ASCI","H_ASCI",0.75,"DS_Dur_WS"
"2",2,"H_ASCI_Q99_0.75_Positive",1210.49819629938,692.674482920899,320.523709493976,278,"Positive","ASCI","H_ASCI",0.75,"Q99"
"3",3,"H_ASCI_SP_Dur_0.75_Positive",55.7340359584388,38.0907816873922,20.5630611194407,114,"Positive","ASCI","H_ASCI",0.75,"SP_Dur"
"4",4,"H_ASCI_DS_Dur_WS_0.86_Positive",91.3794383479748,54.4964297996265,26.6457724606784,111,"Positive","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"5",5,"H_ASCI_Q99_0.86_Positive",707.162379139493,378.493898930199,166.422543329954,278,"Positive","ASCI","H_ASCI",0.86,"Q99"
"6",6,"H_ASCI_SP_Dur_0.86_Positive",46.609425514013,29.2324242696026,14.691158738781,114,"Positive","ASCI","H_ASCI",0.86,"SP_Dur"
"7",7,"H_ASCI_DS_Dur_WS_0.94_Positive",31.507199065514,16.7306800124649,7.68261719687919,111,"Positive","ASCI","H_ASCI",0.94,"DS_Dur_WS"
"8",8,"H_ASCI_Q99_0.94_Positive",53.4039757071174,28.1933009715452,12.286253218279,278,"Positive","ASCI","H_ASCI",0.94,"Q99"
"9",9,"H_ASCI_SP_Dur_0.94_Positive",38.9852922174601,22.8699879797251,10.6144791446064,114,"Positive","ASCI","H_ASCI",0.94,"SP_Dur"
"10",10,"H_ASCI_DS_Dur_WS_0.75_Negative",-147.478010005444,-98.2610856986271,-49.2892963264631,195,"Negative","ASCI","H_ASCI",0.75,"DS_Dur_WS"
"11",11,"H_ASCI_Q99_0.75_Negative",-0.0531125098584369,-0.0387116165931093,-0.0237381671076059,76,"Negative","ASCI","H_ASCI",0.75,"Q99"
"12",12,"H_ASCI_SP_Dur_0.75_Negative",-101.343998943284,-62.0156024990742,-30.0408644297913,225,"Negative","ASCI","H_ASCI",0.75,"SP_Dur"
"13",13,"H_ASCI_DS_Dur_WS_0.86_Negative",-140.498588328889,-89.9571854881089,-43.6621427067859,195,"Negative","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"14",14,"H_ASCI_Q99_0.86_Negative",-0.0487573677352804,-0.032120871650025,-0.0167777178674534,76,"Negative","ASCI","H_ASCI",0.86,"Q99"
"15",15,"H_ASCI_SP_Dur_0.86_Negative",-78.5338454034717,-44.0129346656458,-20.0509600799044,225,"Negative","ASCI","H_ASCI",0.86,"SP_Dur"
"16",16,"H_ASCI_DS_Dur_WS_0.94_Negative",-132.490263276605,-81.1399249637919,-38.1781297251391,195,"Negative","ASCI","H_ASCI",0.94,"DS_Dur_WS"
"17",17,"H_ASCI_Q99_0.94_Negative",-0.0480795757659848,-0.0303979733704277,-0.0149337606754588,76,"Negative","ASCI","H_ASCI",0.94,"Q99"
"18",18,"H_ASCI_SP_Dur_0.94_Negative",-70.057127605329,-37.9536528623085,-16.8779308039631,225,"Negative","ASCI","H_ASCI",0.94,"SP_Dur"
"19",1,"CSCI_DS_Dur_WS_0.63_Positive",148.411247148827,107.112456908221,63.6373409625262,144,"Positive","CSCI","CSCI",0.63,"DS_Dur_WS"
"20",2,"CSCI_Q99_0.63_Positive",1485.09479227664,936.878402411924,480.547058364857,315,"Positive","CSCI","CSCI",0.63,"Q99"
"21",3,"CSCI_SP_Tim_0.63_Positive",46.4959391826983,31.9057168459316,18.4558708175818,307,"Positive","CSCI","CSCI",0.63,"SP_Tim"
"22",4,"CSCI_DS_Dur_WS_0.79_Positive",54.5426974036808,34.4721748044378,18.168898362588,144,"Positive","CSCI","CSCI",0.79,"DS_Dur_WS"
"23",5,"CSCI_Q99_0.79_Positive",376.6091164669,212.337517945691,98.5941415092875,315,"Positive","CSCI","CSCI",0.79,"Q99"
"24",6,"CSCI_SP_Tim_0.79_Positive",24.5471922288843,14.7457820039424,7.33807359765493,307,"Positive","CSCI","CSCI",0.79,"SP_Tim"
"25",7,"CSCI_DS_Dur_WS_0.92_Positive",7.61588665886526,4.14672749341744,1.95170623938159,144,"Positive","CSCI","CSCI",0.92,"DS_Dur_WS"
"26",8,"CSCI_Q99_0.92_Positive",18.4298086192046,10.1816257583584,4.63244512484891,315,"Positive","CSCI","CSCI",0.92,"Q99"
"27",9,"CSCI_SP_Tim_0.92_Positive",15.0570963193506,8.35554153311676,4.10002387639781,307,"Positive","CSCI","CSCI",0.92,"SP_Tim"
"28",10,"CSCI_DS_Dur_WS_0.63_Negative",-146.502057167552,-98.8711037799599,-53.0748057819161,230,"Negative","CSCI","CSCI",0.63,"DS_Dur_WS"
"29",11,"CSCI_Q99_0.63_Negative",-0.0547254051749061,-0.0370199694753525,-0.0187954900037934,105,"Negative","CSCI","CSCI",0.63,"Q99"
"30",12,"CSCI_SP_Tim_0.63_Negative",-107.553911083852,-73.0301817613252,-37.7125544104196,102,"Negative","CSCI","CSCI",0.63,"SP_Tim"
"31",13,"CSCI_DS_Dur_WS_0.79_Negative",-114.357071735496,-68.6705247798442,-33.377638796969,230,"Negative","CSCI","CSCI",0.79,"DS_Dur_WS"
"32",14,"CSCI_Q99_0.79_Negative",-0.055740020660708,-0.0399615063143821,-0.0226474531050991,105,"Negative","CSCI","CSCI",0.79,"Q99"
"33",15,"CSCI_SP_Tim_0.79_Negative",-90.8386820452718,-55.1482865744258,-26.1719264342547,102,"Negative","CSCI","CSCI",0.79,"SP_Tim"
"34",16,"CSCI_DS_Dur_WS_0.92_Negative",-100.633237520447,-56.9709701972696,-26.1754124885205,230,"Negative","CSCI","CSCI",0.92,"DS_Dur_WS"
"35",17,"CSCI_Q99_0.92_Negative",-0.0424752701122969,-0.025999695448909,-0.012759965229807,105,"Negative","CSCI","CSCI",0.92,"Q99"
"36",18,"CSCI_SP_Tim_0.92_Negative",-89.6775111303734,-52.8944943051374,-24.0873011207933,102,"Negative","CSCI","CSCI",0.92,"SP_Tim"
