"","metric","Biol","Bio_threshold","Hydro_Metric","Threshold","Positive","Negative"
"1","H_ASCI_DS_Dur_WS_0.75","ASCI",0.75,"DS_Dur_WS","Threshold25",105.265955583838,-147.478010005444
"2","H_ASCI_DS_Dur_WS_0.75","ASCI",0.75,"DS_Dur_WS","Threshold50",66.9366651371849,-98.2610856986271
"3","H_ASCI_DS_Dur_WS_0.75","ASCI",0.75,"DS_Dur_WS","Threshold75",35.7160348853454,-49.2892963264631
"4","H_ASCI_Q99_0.75","ASCI",0.75,"Q99","Threshold25",1210.49819629938,-0.0531125098584369
"5","H_ASCI_Q99_0.75","ASCI",0.75,"Q99","Threshold50",692.674482920899,-0.0387116165931093
"6","H_ASCI_Q99_0.75","ASCI",0.75,"Q99","Threshold75",320.523709493976,-0.0237381671076059
"7","H_ASCI_SP_Dur_0.75","ASCI",0.75,"SP_Dur","Threshold25",55.7340359584388,-101.343998943284
"8","H_ASCI_SP_Dur_0.75","ASCI",0.75,"SP_Dur","Threshold50",38.0907816873922,-62.0156024990742
"9","H_ASCI_SP_Dur_0.75","ASCI",0.75,"SP_Dur","Threshold75",20.5630611194407,-30.0408644297913
"10","H_ASCI_DS_Dur_WS_0.86","ASCI",0.86,"DS_Dur_WS","Threshold25",91.3794383479748,-140.498588328889
"11","H_ASCI_DS_Dur_WS_0.86","ASCI",0.86,"DS_Dur_WS","Threshold50",54.4964297996265,-89.9571854881089
"12","H_ASCI_DS_Dur_WS_0.86","ASCI",0.86,"DS_Dur_WS","Threshold75",26.6457724606784,-43.6621427067859
"13","H_ASCI_Q99_0.86","ASCI",0.86,"Q99","Threshold25",707.162379139493,-0.0487573677352804
"14","H_ASCI_Q99_0.86","ASCI",0.86,"Q99","Threshold50",378.493898930199,-0.032120871650025
"15","H_ASCI_Q99_0.86","ASCI",0.86,"Q99","Threshold75",166.422543329954,-0.0167777178674534
"16","H_ASCI_SP_Dur_0.86","ASCI",0.86,"SP_Dur","Threshold25",46.609425514013,-78.5338454034717
"17","H_ASCI_SP_Dur_0.86","ASCI",0.86,"SP_Dur","Threshold50",29.2324242696026,-44.0129346656458
"18","H_ASCI_SP_Dur_0.86","ASCI",0.86,"SP_Dur","Threshold75",14.691158738781,-20.0509600799044
"19","H_ASCI_DS_Dur_WS_0.94","ASCI",0.94,"DS_Dur_WS","Threshold25",31.507199065514,-132.490263276605
"20","H_ASCI_DS_Dur_WS_0.94","ASCI",0.94,"DS_Dur_WS","Threshold50",16.7306800124649,-81.1399249637919
"21","H_ASCI_DS_Dur_WS_0.94","ASCI",0.94,"DS_Dur_WS","Threshold75",7.68261719687919,-38.1781297251391
"22","H_ASCI_Q99_0.94","ASCI",0.94,"Q99","Threshold25",53.4039757071174,-0.0480795757659848
"23","H_ASCI_Q99_0.94","ASCI",0.94,"Q99","Threshold50",28.1933009715452,-0.0303979733704277
"24","H_ASCI_Q99_0.94","ASCI",0.94,"Q99","Threshold75",12.286253218279,-0.0149337606754588
"25","H_ASCI_SP_Dur_0.94","ASCI",0.94,"SP_Dur","Threshold25",38.9852922174601,-70.057127605329
"26","H_ASCI_SP_Dur_0.94","ASCI",0.94,"SP_Dur","Threshold50",22.8699879797251,-37.9536528623085
"27","H_ASCI_SP_Dur_0.94","ASCI",0.94,"SP_Dur","Threshold75",10.6144791446064,-16.8779308039631
"28","CSCI_DS_Dur_WS_0.63","CSCI",0.63,"DS_Dur_WS","Threshold25",148.411247148827,-146.502057167552
"29","CSCI_DS_Dur_WS_0.63","CSCI",0.63,"DS_Dur_WS","Threshold50",107.112456908221,-98.8711037799599
"30","CSCI_DS_Dur_WS_0.63","CSCI",0.63,"DS_Dur_WS","Threshold75",63.6373409625262,-53.0748057819161
"31","CSCI_Q99_0.63","CSCI",0.63,"Q99","Threshold25",1485.09479227664,-0.0547254051749061
"32","CSCI_Q99_0.63","CSCI",0.63,"Q99","Threshold50",936.878402411924,-0.0370199694753525
"33","CSCI_Q99_0.63","CSCI",0.63,"Q99","Threshold75",480.547058364857,-0.0187954900037934
"34","CSCI_SP_Tim_0.63","CSCI",0.63,"SP_Tim","Threshold25",46.4959391826983,-107.553911083852
"35","CSCI_SP_Tim_0.63","CSCI",0.63,"SP_Tim","Threshold50",31.9057168459316,-73.0301817613252
"36","CSCI_SP_Tim_0.63","CSCI",0.63,"SP_Tim","Threshold75",18.4558708175818,-37.7125544104196
"37","CSCI_DS_Dur_WS_0.79","CSCI",0.79,"DS_Dur_WS","Threshold25",54.5426974036808,-114.357071735496
"38","CSCI_DS_Dur_WS_0.79","CSCI",0.79,"DS_Dur_WS","Threshold50",34.4721748044378,-68.6705247798442
"39","CSCI_DS_Dur_WS_0.79","CSCI",0.79,"DS_Dur_WS","Threshold75",18.168898362588,-33.377638796969
"40","CSCI_Q99_0.79","CSCI",0.79,"Q99","Threshold25",376.6091164669,-0.055740020660708
"41","CSCI_Q99_0.79","CSCI",0.79,"Q99","Threshold50",212.337517945691,-0.0399615063143821
"42","CSCI_Q99_0.79","CSCI",0.79,"Q99","Threshold75",98.5941415092875,-0.0226474531050991
"43","CSCI_SP_Tim_0.79","CSCI",0.79,"SP_Tim","Threshold25",24.5471922288843,-90.8386820452718
"44","CSCI_SP_Tim_0.79","CSCI",0.79,"SP_Tim","Threshold50",14.7457820039424,-55.1482865744258
"45","CSCI_SP_Tim_0.79","CSCI",0.79,"SP_Tim","Threshold75",7.33807359765493,-26.1719264342547
"46","CSCI_DS_Dur_WS_0.92","CSCI",0.92,"DS_Dur_WS","Threshold25",7.61588665886526,-100.633237520447
"47","CSCI_DS_Dur_WS_0.92","CSCI",0.92,"DS_Dur_WS","Threshold50",4.14672749341744,-56.9709701972696
"48","CSCI_DS_Dur_WS_0.92","CSCI",0.92,"DS_Dur_WS","Threshold75",1.95170623938159,-26.1754124885205
"49","CSCI_Q99_0.92","CSCI",0.92,"Q99","Threshold25",18.4298086192046,-0.0424752701122969
"50","CSCI_Q99_0.92","CSCI",0.92,"Q99","Threshold50",10.1816257583584,-0.025999695448909
"51","CSCI_Q99_0.92","CSCI",0.92,"Q99","Threshold75",4.63244512484891,-0.012759965229807
"52","CSCI_SP_Tim_0.92","CSCI",0.92,"SP_Tim","Threshold25",15.0570963193506,-89.6775111303734
"53","CSCI_SP_Tim_0.92","CSCI",0.92,"SP_Tim","Threshold50",8.35554153311676,-52.8944943051374
"54","CSCI_SP_Tim_0.92","CSCI",0.92,"SP_Tim","Threshold75",4.10002387639781,-24.0873011207933
